precip,count
0.0,57199
0.01,5123
0.02,2846
0.04,1675
0.07,1390
0.08,1386
0.05,1290
0.09,1044
0.19,930
0.06,782
0.36,767
0.14,713
0.11,653
0.34,651
0.22,618
0.28,610
0.03,608
0.55,591
0.15,591
0.16,518
0.1,486
0.18,480
0.42,456
0.26,441
0.13,422
0.3,414
0.37,404
0.21,354
0.25,346
0.38,317
0.4,316
0.23,306
0.61,291
0.27,286
0.35,284
0.44,282
0.75,281
0.6,278
0.65,251
0.63,250
0.17,244
0.41,243
0.64,237
0.24,232
0.53,232
0.33,228
1.24,222
0.99,218
0.56,214
0.31,212
0.5,208
1.6,196
0.66,190
1.55,188
0.32,184
0.49,183
0.97,175
0.45,171
0.2,160
0.43,146
0.69,145
1.18,144
0.74,136
0.57,134
0.48,125
0.92,120
1.01,120
0.95,109
0.39,106
0.89,103
0.83,97
0.47,87
0.67,85
1.84,80
1.03,80
1.0,80
0.78,79
0.46,79
1.27,77
1.33,72
0.82,67
0.12,63
0.73,62
0.29,62
1.37,58
0.54,53
0.84,50
