BusDate,DayofWeek,OrderID,OtotSubTotal,OrdServiceType,OrdVoidDate,OrdTaxExemptID,OrdOnlineOrderID,PmtType
3/1/2021,Monday,3,19.6,1,,,,3
3/1/2021,Monday,2,20.74,3,,,,3
3/1/2021,Monday,5,20.97,1,,,,3
3/1/2021,Monday,6,9.99,1,,,,3
3/1/2021,Monday,10,26.27,1,,,,3
3/1/2021,Monday,9,6.99,3,,,,0
3/1/2021,Monday,8,18.98,3,,,,0
3/1/2021,Monday,11,34.23,3,,,,3
3/1/2021,Monday,12,3.49,3,,,,3
3/1/2021,Monday,13,6.99,3,,,215905451257214631,3
3/1/2021,Monday,14,13.99,3,,,,3
3/1/2021,Monday,15,18.84,1,,,,3
3/1/2021,Monday,16,18.48,3,,,,3
3/1/2021,Monday,17,9.99,3,,,,3
3/1/2021,Monday,18,8.19,3,,,,0
3/1/2021,Monday,19,37.54,1,,,,3
3/1/2021,Monday,20,6.99,2,,,,3
3/1/2021,Monday,21,24.48,1,,,,3
3/1/2021,Monday,23,10.73,1,,,,3
3/1/2021,Monday,24,38.33,1,,,215905451610583122,3
3/1/2021,Monday,27,15.59,1,,,215905451623389397,3
3/1/2021,Monday,30,26.37,1,,,,3
3/1/2021,Monday,29,14.24,3,,,,3
3/1/2021,Monday,7,22.98,1,,,,0
3/1/2021,Monday,28,17.08,3,,,,3
3/1/2021,Monday,31,14.99,3,,,,3
3/1/2021,Monday,32,6.99,3,,,,3
3/1/2021,Monday,35,26.73,1,,,215905451723397130,3
3/1/2021,Monday,36,23.99,1,,,,3
3/1/2021,Monday,39,32.28,1,,,215905451740217690,3
3/1/2021,Monday,33,11,3,,,,3
3/1/2021,Monday,40,29.18,3,,,215905451748289740,3
3/1/2021,Monday,37,32.57,3,,,,0
3/1/2021,Monday,34,37.11,3,,,,3
3/1/2021,Monday,42,17.74,1,,,,3
3/1/2021,Monday,45,16.48,1,,,,3
3/1/2021,Monday,46,11.19,3,,,,0
3/1/2021,Monday,43,14.99,3,,,,3
3/1/2021,Monday,48,34.17,3,,,215905451832339453,3
3/1/2021,Monday,49,35.06,1,,,215905451843454130,3
3/1/2021,Monday,47,8.57,3,,,,0
3/1/2021,Monday,51,62.88,1,,,215905451913586554,3
3/1/2021,Monday,53,26.37,1,,,,3
3/1/2021,Monday,54,30.63,1,,,,3
3/1/2021,Monday,55,9.99,3,,,,3
3/1/2021,Monday,56,41.75,3,,,,0
3/1/2021,Monday,59,44.36,3,,,215905452031381362,3
3/1/2021,Monday,41,54.95,1,,,,0
3/1/2021,Monday,44,43.16,1,,,,0
3/1/2021,Monday,52,18.88,1,,,,0
3/1/2021,Monday,60,24.57,1,,,,3
3/1/2021,Monday,61,21.11,2,,,,3
3/1/2021,Monday,62,18.98,1,,,215905452200134072,3
3/1/2021,Monday,63,16.5,3,,,,0
3/1/2021,Monday,64,54.6,3,,,,3
3/1/2021,Monday,50,47.32,1,,,,0
3/1/2021,Monday,57,26.96,1,,,,0
3/1/2021,Monday,58,44.06,1,,,,0
3/1/2021,Monday,65,24.58,3,,,,0
3/2/2021,Tuesday,3,17.84,1,,,216005451133584897,3
3/2/2021,Tuesday,4,6.88,1,,,,3
3/2/2021,Tuesday,2,18.23,3,,,,3
3/2/2021,Tuesday,5,13.37,2,,,,3
3/2/2021,Tuesday,6,13.97,1,,,216005451230435505,3
3/2/2021,Tuesday,7,11.38,1,,,,3
3/2/2021,Tuesday,9,34.36,1,,,216005451256186176,3
3/2/2021,Tuesday,11,19.74,2,,,,0
3/2/2021,Tuesday,12,13.98,2,,,,0
3/2/2021,Tuesday,10,27.57,3,,,,3
3/2/2021,Tuesday,14,13.56,3,,,,0
3/2/2021,Tuesday,18,18.99,1,,,,3
3/2/2021,Tuesday,19,36.61,3,,,216005451542394140,3
3/2/2021,Tuesday,20,60.13,1,,,216005451543282641,3
3/2/2021,Tuesday,17,14.48,3,,,,3
3/2/2021,Tuesday,16,41.72,3,,,,3
3/2/2021,Tuesday,24,21.98,1,,,216005451614586453,3
3/2/2021,Tuesday,25,27.07,3,,,216005451624063921,3
3/2/2021,Tuesday,23,25.97,3,,,,3
3/2/2021,Tuesday,26,15.37,1,,,,3
3/2/2021,Tuesday,27,40.68,3,,,216005451653507580,3
3/2/2021,Tuesday,28,28.47,1,,,,3
3/2/2021,Tuesday,30,12.73,1,,,,3
3/2/2021,Tuesday,29,29.48,3,,,,3
3/2/2021,Tuesday,32,27.97,3,,,216005451717261419,3
3/2/2021,Tuesday,33,26.24,3,,,216005451718465628,3
3/2/2021,Tuesday,34,26.74,1,,,216005451721004307,3
3/2/2021,Tuesday,37,20.58,3,,,,0
3/2/2021,Tuesday,38,6.99,3,,,,0
3/2/2021,Tuesday,35,18.48,3,,,,3
3/2/2021,Tuesday,40,31.09,3,,,,3
3/2/2021,Tuesday,41,14.48,1,,,,3
3/2/2021,Tuesday,44,23.99,1,,,216005451804383760,3
3/2/2021,Tuesday,22,14.58,3,,,216005451609171326,3
3/2/2021,Tuesday,48,36.17,1,,,,3
3/2/2021,Tuesday,49,13.98,1,,,,3
3/2/2021,Tuesday,50,10.59,2,,,,0
3/2/2021,Tuesday,53,39.53,1,,,216005451826176660,3
3/2/2021,Tuesday,42,16.18,3,,,,3
3/2/2021,Tuesday,56,25.58,1,,,,3
3/2/2021,Tuesday,51,18.98,3,,,216005451825172565,3
3/2/2021,Tuesday,58,13.73,1,,,,3
3/2/2021,Tuesday,46,13.24,3,,,,3
3/2/2021,Tuesday,57,4.89,3,,,,0
3/2/2021,Tuesday,54,30.99,3,,,,3
3/2/2021,Tuesday,59,21.98,3,,,,3
3/2/2021,Tuesday,60,15.96,3,,,,3
3/2/2021,Tuesday,63,30.3,1,,,216005451923225645,3
3/2/2021,Tuesday,64,29.07,1,,,,3
3/2/2021,Tuesday,65,58.34,1,,,216005451930244089,3
3/2/2021,Tuesday,66,26.87,1,,,216005451930329660,3
3/2/2021,Tuesday,67,17.74,2,,,,3
3/2/2021,Tuesday,62,6.99,3,,,,0
3/2/2021,Tuesday,68,26.37,1,,,216005451935245780,3
3/2/2021,Tuesday,71,12,3,,,216005452009218240,3
3/2/2021,Tuesday,69,20.13,3,,,,3
3/2/2021,Tuesday,70,15.99,3,,,,0
3/2/2021,Tuesday,72,37.98,3,,,,3
3/2/2021,Tuesday,36,17.74,1,,,,0
3/2/2021,Tuesday,39,17.24,1,,,,0
3/2/2021,Tuesday,61,14.38,1,,,,0
3/2/2021,Tuesday,74,24.85,1,,,216005452104132755,3
3/2/2021,Tuesday,75,28.35,3,,,216005452137025166,3
